Epic ID,Epic Title,Persona,User Story ID,User Story Title,Description,Acceptance Criteria,Priority,Status,Story Points,Roadmap,
E003,Unified Interview (Gaps + Conflicts + Cultural),Marcus / Priya / Emma,US010,Generate interview questions for conflicts,"As the system, I need to ask users to resolve CV conflicts in a job-contextualized way so they make strategic choices","- Conflicts filtered for job relevance (only relevant conflicts asked)
- Questions frame conflict as optimization opportunity, not data error
- Each question includes: conflicting values, source CVs, strategic context
- User can select preferred value or provide clarification
- Resolution stored in master_profile",High,Backlog,8,,
E003,Unified Interview (Gaps + Conflicts + Cultural),Priya,US011,Generate interview questions for cultural adaptation,"As an international candidate, I want the system to ask me questions about cultural adaptation (photo, credentials, language, work auth) so I can make informed choices for DACH","- Questions generated based on cultural flags
- Topics include: photo preference, credential mapping, language proficiency, work authorization, availability
- Each question includes DACH context and recommendations
- User responses stored in master_profile.cultural_context
- Responses inform CV generation (e.g., photo placement, credential presentation)",High,Backlog,8,,
E003,Unified Interview (Gaps + Conflicts + Cultural),Marcus / Priya / Emma,US012,Conduct conversational interview,"As a user, I want to answer interview questions in a conversational chat interface so the experience feels natural and engaging","- Chat UI displays one question at a time
- Progress bar shows 'Question X of Y'
- User can submit free-text answers
- Answers saved automatically
- Option to skip or return to previous questions
- Session state persisted (user can close browser and resume)",High,Backlog,5,,
E003,Unified Interview (Gaps + Conflicts + Cultural),Marcus / Priya / Emma,US049,Auto-detect interview mode (Targeted vs Guided),"As the system, I need to auto-detect whether the user should receive a Targeted interview (MODE A) or a Guided interview (MODE B) based on profile completeness.","- calculate_completeness() evaluated at interview session creation
- MODE A (Targeted): completeness ≥ MODE_B_COMPLETENESS_THRESHOLD (0.3). Consumes GapAnalysis. Soft target 3–8 questions, hard ceiling 12. C→B question ordering.
- MODE B (Guided): completeness < 0.3. No GapAnalysis required. Section-by-section build plan. Soft target 10–15 questions, hard ceiling 20.
- Mode stored on interview_session record
- Mode displayed to user: 'Quick Interview (5 min)' vs 'Profile Builder (15 min)'
- Mode cannot change mid-session",High,Backlog,5
E003,Unified Interview (Gaps + Conflicts + Cultural),Marcus / Priya / Emma,US050,MODE B guided interview builds profile section-by-section,"As a new user with no CV, I want a guided interview that builds my Master Profile section by section so I can create a professional profile from scratch.","- MODE B interview generates questions organized by profile section: Personal Summary, Work Experience, Skills & Technologies, Certifications, Education, Languages
- Questions are open-ended and exploratory (e.g., 'Tell me about your most recent position and what you were responsible for')
- Each answer parsed and mapped to Master Profile fields
- Section completeness shown as user progresses
- Soft target 10–15 questions, hard ceiling 20
- Profile completeness score updated after each answer
- At completion, Master Profile is populated sufficiently for CV generation",High,Backlog,8
E003,Unified Interview (Gaps + Conflicts + Cultural),Marcus / Priya / Emma,US013,Resume interrupted interview,"As a user, I want to resume an interrupted interview from where I left off so I don't lose progress","- CV generated using Master Profile + interview answers + JD analysis
- Content prioritized based on job relevance
- Regulatory frameworks mapped and positioned
- Format applied (DACH reverse-chronological for Priya, standard for Marcus/Emma)
- PDF generated using Playwright headless Chromium from Jinja2 templates
- HTML preview served to frontend iframe uses the same Jinja2 HTML/CSS as PDF generation
- Generation is asynchronous; user/agent will poll for status",Medium,Backlog,3,,
E004,CV Generation & Tailoring,Marcus / Priya / Emma,US014,Generate tailored CV from Master Profile + JD,"As the system, I need to create a job-tailored CV using the enriched Master Profile and interview answers","- CV generated using Master Profile + interview answers + JD analysis
- Content prioritized based on job relevance
- Regulatory frameworks mapped and positioned
- Format applied (DACH reverse-chronological for Priya, standard for Marcus/Emma)
- Generation is asynchronous: generate_cv initiates background job, returns {cv_id, status: 'pending', expires_at}
- Frontend polls get_cv_status(cv_id) until status 'ready' or 'failed' (polling interval ~2s)
- MCP agents use same polling pattern via get_cv_status tool
- PDF generated using Jinja2 templates + Playwright headless Chromium
- HTML preview served to frontend iframe uses same Jinja2 HTML/CSS as PDF
- Generated PDF stored with TTL: 90 days (human), 24 hours (agent)
- Auto-deleted by Retention Worker when expires_at past",High,Backlog,8,,
E004,CV Generation & Tailoring,Marcus / Priya / Emma,US015,Preview CV in browser before download,"As a user, I want to see a preview of my tailored CV in the browser so I can review it before downloading","- CV preview loaded in iframe
- User can scroll through full CV
- Preview reflects all tailoring (gaps filled, conflicts resolved, cultural adaptations applied)
- 'Download PDF' button available
- 'Edit' option available for minor tweaks",High,Backlog,3,,
E004,CV Generation & Tailoring,Marcus / Priya / Emma,US016,Download CV as PDF,"As a user, I want to download my tailored CV as a PDF so I can send it to the recruiter","- PDF downloads with filename: Kandidatenprofil_[Name]_[JobTitle]_[Company].pdf
- PDF quality is professional (fonts, spacing, formatting preserved)
- File size reasonable (<5MB)
- Download completes without errors",High,Backlog,2,,
E004,CV Generation & Tailoring,Marcus,US017,Edit CV inline before download,"As a user, I want to make minor edits to my CV preview so I can fix typos or adjust wording before submitting","- User can click on CV sections to edit
- Inline editor appears for selected text
- Changes reflected in preview immediately
- Edited CV regenerated with changes
- Download reflects all edits",Medium,Backlog,5,,
E005,Dashboard & Pipeline Management,Marcus / Priya / Emma,US018,View dashboard with profile status,"As a user, I want to see my profile completeness and recent applications on a dashboard so I know what's ready and what needs work","- Dashboard loads with personalized greeting
- Profile completeness badge shown (e.g., '82% complete')
- Recent applications listed with status (Submitted, Draft, Incomplete)
- 'New Application' button prominent
- Quick stats: CVs generated, applications submitted",High,Backlog,5,,
E005,Dashboard & Pipeline Management,Marcus / Priya / Emma,US019,View application history and versions,"As a user, I want to see all CVs I've generated and track which version I sent to which employer","- Application history shows: Job title, Company, Date generated, Status
- Each application links to CV version
- Option to view, download, or regenerate CV
- Delta view available (compare CV v1 vs v2 for same JD)",Medium,Backlog,5,,
E005,Dashboard & Pipeline Management,Marcus / Priya / Emma,US020,Log application submission to pipeline,"As the system, I need to record when a user downloads a CV so we can track pipeline status","- Submission logged with: Job title, Company, Date, CV version, Status = 'Submitted'
- User can update status (Submitted, Interview Scheduled, Offer, Rejected, Withdrawn)
- Notes field available for user comments
- Dashboard updated in real-time",Medium,Backlog,3,,
E005,Dashboard & Pipeline Management,Priya,US021,View Cultural Readiness Score,"As an international candidate, I want to see my Cultural Readiness Score on the dashboard so I know how well my profile is adapted for DACH","- Score displayed as percentage (0-100%)
- Breakdown shown: PII removal, format, credentials, regulatory mapping, language, photo, work auth
- Suggestions for improvement listed
- Score updates after each interview/application",Medium,Backlog,3,,
E006,Anonymization & Blind Submissions,Jason,US022,Toggle anonymization for blind submissions,"As a recruiter, I want to generate an anonymized Kandidatenprofil so I can submit blind profiles to clients","- Anonymization toggle available in CV generation screen
- When enabled: name, photo, contact details removed
- Experience data preserved (positions, projects, skills, certifications)
- Anonymized CV shows 'Candidate Profile: Anonymous'
- Filename reflects anonymization: Kandidatenprofil_Anonymous_[JobTitle]_[Company].pdf",High,Backlog,5,,
E007,B2B Recruiter Features,Jason,US023,Create B2B agency account,"As a recruiter, I want to create a B2B account for my agency so I can manage candidates and mandates","- B2B signup form: Company name, VAT ID (optional), email, password
- Account created with B2B workspace
- Agency profile setup initiated",High,Backlog,3,,
E007,B2B Recruiter Features,Jason,US024,Upload agency branding assets,"As a recruiter, I want to upload my agency's logo, template, and brand colors so all Kandidatenprofile are branded consistently","- Logo upload (PNG, max 5MB)
- Kandidatenprofil template upload (DOCX with placeholder fields)
- Brand colors input (hex codes or auto-detect from logo)
- Preview of branded template
- Settings saved to agency profile",High,Backlog,5,,
E007,B2B Recruiter Features,Jason,US025,Manage active mandates,"As a recruiter, I want to create and manage a list of active client mandates so I can match candidates to them","- Mandate creation: Job title, Company, JD text/URL, salary range, requirements
- Mandate list view with status (Open, Filled, On Hold)
- Search and filter by company, job title, date
- Mandate details editable
- Mandates available for candidate matching",High,Backlog,5,,
E007,B2B Recruiter Features,Jason,US026,Upload candidate CVs (single or batch),"As a recruiter, I want to upload candidate CVs (1 or multiple) so the system can parse them and create Master Profiles","- Single CV upload: drag-drop or file picker
- Batch upload: drag-drop multiple files (up to 10 CVs)
- Progress indicator for each file
- All CVs parsed in parallel
- Success message with count of profiles created",High,Backlog,5,,
E007,B2B Recruiter Features,Jason,US027,View candidate pool,"As a recruiter, I want to see all candidate profiles in my workspace so I can search and filter for matching mandates","- Candidate list with: Name, Position, Experience level, Key skills, Last updated
- Search by name, skill, company, position
- Filter by experience level, certifications, regulatory expertise
- Sort by date added, relevance
- Click to view full profile",High,Backlog,5,,
E007,B2B Recruiter Features,Jason,US028,Match candidates to mandates (batch),"As a recruiter, I want to match multiple candidates against multiple mandates so I can identify the best fits quickly","- Batch match: Select 5-10 candidates + 2-3 mandates
- System runs match analysis for each combination
- Results displayed as matrix: Candidates × Mandates with match scores
- Sort by score, filter by threshold (e.g., >75%)
- Select top matches for Kandidatenprofil generation",High,Backlog,8,,
E007,B2B Recruiter Features,Jason,US029,Generate Kandidatenprofil for matched candidates,"As a recruiter, I want to generate branded Kandidatenprofile for matched candidates so I can submit them to clients","- Select matched candidates from batch results
- System generates Kandidatenprofil for each using agency template
- Candidate details auto-filled
- Relevant experience highlighted based on mandate
- Anonymization option available
- Bulk download all profiles as ZIP",High,Backlog,8,,
E007,B2B Recruiter Features,Jason,US028a,Manually select candidates and mandates for bulk Kandidatenprofil generation,"As a recruiter, I want to manually select candidates and mandates so I can generate multiple Kandidatenprofile at once without automated matching or scoring.","- User selects multiple candidates from the candidate pool.
- User selects one or more mandates to match against.
- System confirms selected candidates and mandates.
- No automated matching algorithms or scoring is performed at this stage.
- Proceeds to bulk Kandidatenprofil generation based on manual selection.",High,Backlog,5,,
E007,B2B Recruiter Features,Jason,US028b,Automated batch candidate-mandate matching with scoring,"As a recruiter, I want the system to automatically match multiple candidates against multiple mandates and provide match scores so I can quickly identify the best fits.","- System performs match analysis for selected candidates and mandates.
- Results displayed as matrix showing Candidates × Mandates with match scores (e.g., 0-100%).
- Option to sort by score, filter by threshold (e.g., >75%).
- This feature is classified as High-Risk under EU AI Act Category 4 (Employment) and requires full compliance before deployment.
- Profiling of natural persons occurs, so Art. 6.3 exemption is not applicable.",Medium,Deferred — EU AI Act compliance required,13
E008,GDPR Compliance & Consent,Marcus / Priya / Emma / Jason,US031,Capture GDPR consent for first-time candidates,"As a recruiter, I want to generate branded Kandidatenprofile for manually selected candidates so I can submit them to clients.","- Select candidates who have been manually matched with a mandate (via US028a).
- System generates a branded Kandidatenprofil for each selected candidate using the agency template.
- Candidate details are auto-filled and relevant experience is highlighted based on the mandate.
- Anonymization option is available.
- Bulk download all profiles as a ZIP file.
- Note: This user story explicitly *excludes* any automated matching, scoring, or ranking logic. It relies solely on the recruiter's manual selection.",High,Backlog,8,,
E008,GDPR Compliance & Consent,Marcus / Priya / Emma / Jason,US032,Handle consent decline,"As the system, I need to handle cases where candidates decline consent so we comply with GDPR","- If consent declined: CV data deleted, profile not created
- User notified: 'Candidate declined consent'
- Option to request manual consent or try again later
- Audit log records decline",Medium,Backlog,3,,
E008,GDPR Compliance & Consent,Jason,US033,Manage candidate data deletion requests,"As a recruiter, I want to delete a candidate's data from my workspace if they request it so we comply with GDPR","- Candidate profile deletion option in settings
- Confirmation required: 'Are you sure? This cannot be undone.'
- All associated data deleted (CVs, Master Profile, interview sessions, submissions)
- Audit log records deletion with timestamp and reason
- Confirmation email sent to candidate",Medium,Backlog,3,,
E009,AI Agent Integration (Kaile),Jason / Marcus,US034,Generate API keys for agent access,"As a user, I want to generate API keys so I can authorize AI agents to access my Apliqa account","- Settings page with 'API Keys' section
- 'Generate New Key' button
- Key displayed once (copy to clipboard)
- Key name and creation date shown
- Option to revoke keys
- Rate limits displayed (e.g., 100 calls/month)",Medium,Backlog,3,,
E009,AI Agent Integration (Kaile),Jason / Marcus,US035,Delegate CV generation to AI agent,"As a user, I want to authorize an AI agent to generate tailored CVs on my behalf so I can automate routine work","- Agent authorization flow: User grants agent access to Master Profile + JD analysis
- Agent receives: Candidate profile data, JD, custom instructions
- Agent generates Kandidatenprofil and returns JSON
- User reviews and approves before submission
- Submission logged with 'Generated by Kaile' attribution",Medium,Backlog,8,,
E007,B2B Recruiter Features,Jason,US059,RLS-based multi-tenancy for B2B workspaces,"As the system, I need row-level security (RLS) based multi-tenancy so each recruiter agency's data is fully isolated (ADR-011).","- Tenant provisioned at B2B signup (linked to US023)
- tenant_id column on all tenant-scoped tables (candidates, mandates, submissions, generated_cvs)
- PostgreSQL RLS policies enforce data isolation: SET app.current_tenant_id per request
- API middleware sets tenant context from authenticated user's agency membership
- Tenant admin can invite/remove team members
- Member roles: admin, recruiter (read/write), viewer (read-only)
- Cross-tenant data access is impossible at the database level
- Tenant deletion cascades to all associated data with GDPR audit logging",High,Backlog,8
E009,AI Agent Integration (Kaile),Jason / Marcus,US036,Monitor agent usage and credits,"As a user, I want to see how many API calls my agents have made and how many credits I have remaining","- Billing dashboard shows: API calls this month, credits remaining, cost per call
- Usage graph: calls over time
- Option to buy more credits
- Invoice history available",Low,Backlog,3,,
E010,Onboarding & User Education,Marcus / Priya / Emma,US037,Guided onboarding for new users,"As a new user, I want a guided onboarding experience so I understand how to use Apliqa effectively","- Landing page with value prop and demo video
- Signup flow with email/password or SSO
- Onboarding checklist: Upload CV → Create Master Profile → Tailor for first role
- Tooltips and help text throughout
- Success celebrations at each milestone",Medium,Backlog,5,,
E010,Onboarding & User Education,Priya,US038,Educational content on DACH CV norms,"As an international candidate, I want to learn about DACH CV conventions so I understand why the system is making certain recommendations","- Help articles: 'German CV Format', 'Photo Guidelines', 'Credential Mapping', 'Work Authorization'
- Video tutorials: 'How to Adapt Your CV for DACH', 'Cultural Readiness Score Explained'
- FAQ section with common questions
- Links to external resources (anabin, DAAD, etc.)
- Contextual help in interview questions",Medium,Backlog,5,,
E010,Onboarding & User Education,Marcus / Priya / Emma,US039,Profile completeness suggestions,"As a user, I want to see suggestions for improving my Master Profile so I can make my CVs stronger","- Dashboard shows: 'Profile Completeness: 82%'
- Suggestions listed: 'Add certifications', 'Describe your FDA audit project', 'Update language skills'
- Click suggestion to add/edit data
- Completeness score updates after each change",Low,Backlog,3,,
E011,Performance & Reliability,All,US040,Fast CV generation (<10 seconds),"As a user, I want my tailored CV to generate quickly so I can download and submit it promptly","- PDF generated using Playwright headless Chromium
- All fonts embedded
- Spacing and layout preserved from HTML
- No rendering errors or blank pages
- File size reasonable (<5MB)",High,Backlog,5,,
E011,Performance & Reliability,All,US041,Reliable PDF rendering,"As a user, I want my PDF to render correctly with proper formatting, fonts, and spacing","- PDF generated using WeasyPrint
- All fonts embedded
- Spacing and layout preserved from HTML
- No rendering errors or blank pages
- File size <5MB",High,Backlog,5,,
E012,Mobile & Cross-Device,Marcus / Priya / Emma,US042,Responsive design for mobile,"As a user, I want to use Apliqa on my phone so I can apply for jobs on the go","- All screens responsive (mobile-first design)
- Touch-friendly buttons and inputs
- Interview chat works on mobile
- CV preview readable on small screens
- Download works on mobile browsers",Low,Backlog,8,,
E013,Flow Orchestrator & Session Management,Marcus / Priya / Emma / Jason,US044,Create flow session when user starts a new application,"As the system, I need to create a flow session when a user starts a new application so the entire journey is tracked as a state machine.","- POST /api/flow creates a new flow_session row (one per user × job)
- Idempotent: returns existing active session if one exists for (user_id, job_id)
- Step graph initialized: jd_analysis → cv_import → gap_analysis → interview → cv_generation → complete
- user_type auto-detected at creation (new vs returning) based on existing Master Profile
- current_step set to first applicable step (returning users skip cv_import)
- available_actions computed for current step
- Session state persisted in flow_sessions table",High,Backlog,5
E013,Flow Orchestrator & Session Management,Marcus / Priya / Emma / Jason,US045,Enforce valid step transitions,"As the system, I need to enforce valid step transitions so users and agents cannot skip or repeat steps illegally.","- VALID_TRANSITIONS dict enforced server-side (apliqa/services/flow/orchestrator.py)
- POST /api/flow/{session_id}/transition accepts target_step + artifact_id
- Each step must provide its artifact ID before transition is allowed
- Invalid transitions return HTTP 409 with explanation
- Backward transitions not allowed (except explicit restart)
- Transition logged with timestamp for audit trail",High,Backlog,5
E013,Flow Orchestrator & Session Management,Marcus / Priya / Emma / Jason,US046,Detect user_type and route accordingly,"As the system, I need to detect whether a user is new or returning so I can skip unnecessary steps and optimize the flow.","- calculate_completeness() evaluated at flow creation
- user_type = 'returning' if Master Profile exists with completeness ≥ 0.3
- user_type = 'new' if no profile or completeness < 0.3
- Returning users: cv_import step skipped, flow starts at jd_analysis or gap_analysis
- New users: full flow from jd_analysis → cv_import onwards
- user_type stored on flow_session for downstream logic (e.g., interview MODE A vs MODE B)",High,Backlog,3
E013,Flow Orchestrator & Session Management,Marcus / Priya / Emma / Jason,US047,Resume an abandoned flow from the dashboard,"As a user, I want to resume an abandoned application flow from my dashboard so I don't lose progress.","- Dashboard shows active/incomplete flow sessions with current step
- User clicks 'Resume' to re-enter the flow at the last completed step
- Flow state fully restored (current_step, artifacts, interview progress)
- Expired flows (>30 days inactive) are auto-closed by Retention Worker
- Closed flows can be restarted but not resumed",High,Backlog,3
E004,CV Generation & Tailoring,Marcus / Priya / Emma / Jason,US048,Poll CV generation status,"As a user or agent, I need to poll the CV generation status so I know when my tailored CV is ready for download.","- GET /api/cv/{cv_id}/status returns {cv_id, status, progress_pct, error_message, download_url}
- Status values: pending, generating, ready, failed
- Frontend polls every 2 seconds with exponential backoff
- MCP tool get_cv_status(cv_id) wraps the same endpoint
- When status = 'ready': download_url populated, expires_at set
- When status = 'failed': error_message populated with user-friendly explanation
- Timeout after 120 seconds triggers automatic failure status",High,Backlog,3
E014,GDPR Retention Worker & Data Lifecycle,All,US051,Automated deletion of expired uploads (7-day TTL),"As the system, I need to automatically delete uploaded CV files after 7 days to comply with GDPR data minimisation requirements (ADR-005).","- Retention Worker runs as daily cron job via Docker Compose
- Scans uploads table for rows where expires_at < NOW()
- Deletes file from StorageProvider (local filesystem or S3)
- Deletes row from uploads table
- Deletion logged in audit_log with: table, record_id, deletion_reason, timestamp
- Worker is idempotent (safe to re-run)
- Failed deletions retry on next run with alert after 3 failures",High,Backlog,5
E014,GDPR Retention Worker & Data Lifecycle,All,US052,Automated deletion of expired interview sessions (30-day TTL),"As the system, I need to automatically delete interview session data after 30 days to comply with GDPR data minimisation requirements (ADR-005).","- Retention Worker scans interview_sessions for rows where created_at + 30 days < NOW()
- Deletes session data including: questions, answers, conflict resolutions
- Extracted enrichments already persisted to Master Profile are NOT deleted
- Deletion logged in audit_log
- Associated flow_session marked as closed if still open",High,Backlog,3
E014,GDPR Retention Worker & Data Lifecycle,All,US053,Automated deletion of expired CVs (90-day TTL),"As the system, I need to automatically delete generated CVs after their TTL expires (90 days for human, 24 hours for agent) to comply with GDPR (ADR-005).","- Retention Worker scans generated_cvs for rows where expires_at < NOW()
- Deletes PDF file from StorageProvider
- Deletes row from generated_cvs table
- User notified on next dashboard visit that CV has expired
- Regeneration option available from flow session
- Deletion logged in audit_log",High,Backlog,3
E014,GDPR Retention Worker & Data Lifecycle,All,US054,Soft-delete inactive user accounts (24-month inactivity),"As the system, I need to soft-delete user accounts after 24 months of inactivity so we comply with GDPR storage limitation (ADR-005).","- Retention Worker scans users table for last_active_at + 24 months < NOW()
- Account soft-deleted: is_active = false, anonymized
- Master Profile data anonymized (PII stripped, career data retained as aggregate)
- User notified via email 30 days before soft-delete (reminder email)
- User can reactivate account within 90-day grace period by logging in
- After grace period: hard-delete triggered
- Deletion logged in audit_log",Medium,Backlog,5
E015,Platform Infrastructure & Architecture,All,US055,Implement core MCP Server infrastructure,"As the system, I need a robust MCP Server layer so that AI agents (e.g., Kaile) can discover, authenticate, and call all user-facing functionality as MCP tools.","- MCP Server registers all apliqa.mcp tools corresponding to user-facing API endpoints
- Auth context: API Key resolved to user_id for every tool call
- MCP Transport: stdio for Community edition, SSE for Cloud edition (ADR-010)
- Standardized error responses: invalid calls, auth failures, internal errors
- Tool schemas published for agent discovery
- Every user-facing API endpoint has a corresponding MCP tool exposure
- Rate limiting applied per API key (ADR-007)",High,Backlog,8
E015,Platform Infrastructure & Architecture,All,US056,MCP tool coverage for all user workflows,"As an agent-channel user, I need every user-facing workflow to be accessible via MCP tools so agents can perform the complete application flow on my behalf.","- MCP tools implemented for: analyze_jd, analyze_gaps, start_interview, answer_question, generate_cv, get_cv_status, get_profile, update_profile
- Each tool mirrors its REST API counterpart with identical input/output schemas
- Tools enforce same authorization and validation as REST endpoints
- Agent flow validated end-to-end: analyze_jd → analyze_gaps → generate_cv → get_cv_status
- Tools documented with descriptions, parameter schemas, and example calls
- Error responses structured for agent recovery (retry vs abort)",High,Backlog,8
E015,Platform Infrastructure & Architecture,All,US057,Edition gating (Community vs Cloud),"As the system, I need to enforce edition boundaries so Cloud-only features are not accessible in the Community edition (ADR-007/012).","- APLIQA_EDITION environment variable checked at startup (community | cloud)
- Cloud-only endpoints return HTTP 402 with upgrade prompt when called in Community
- Cloud-only features: Recruiter Intelligence, SSE transport, S3 storage, advanced analytics
- Namespace separation: Cloud-only code in apliqa.cloud.* package
- Edition check is a decorator/middleware, not scattered through business logic
- Community edition fully functional without Cloud dependencies",Medium,Backlog,5
